group,intercept,prior_cesd,mean_daily_switches
1017,-2.088980188825479,0.11861658083697807,4.658107517831803
1030,-4.179998871013718,0.013374040316319667,-0.5628355225165425
1111,-4.235430485606714,-0.025265287360934363,0.7314265356238319
1234,1.7581185538021686,-0.08590566973306216,0.34713209730207994
1257,-6.657440113579954,-0.0026628148642456172,1.2490438838500022
1261,-5.5427976789227715,-0.1017649750158234,0.6194264921630589
1292,-3.132577821300516,-0.07397327322848103,0.48899512002721846
1301,-3.0161048964705834,-0.008607816397094589,0.8273689990645866
1389,-6.4422014634461435,-0.1614468039133064,0.40617014831861264
1487,-4.7591418398517735,-0.020612748310921435,1.083987483005807
1490,-1.3919524281893734,0.03747951530127902,0.07270436586754223
1515,6.153835467568026,-0.02374286431747568,-0.8025405764107556
1551,2.6540891361950405,-0.08356360695395876,-1.397512339127343
1693,0.14902143277451313,-0.019827764435538693,-0.20064864725267795
2044,-2.3241318283090786,-0.02142109851705662,-0.31278251142792046
2122,0.06382401313513736,0.013188321936996004,0.27872622813461684
2177,-1.7325800016383683,-0.02111682608163652,0.4031311825975525
2204,8.781087546404752,-0.3038079103375622,0.09493259935012288
2298,8.856377342341618,0.26514478092864746,-2.7732738960537215
2403,3.863603304258109,0.006547247485800016,-1.7092707486406962
2410,6.58653542091212,-0.012869496488708698,-1.7515713560991872
2456,6.498084570113463,0.03848870770529051,-0.8966247144068262
2591,-0.7513602139385911,-0.06988849210179009,0.5350842184759754
2693,4.689613520256664,0.0550844955405227,-1.1249437198905812
2720,-6.023120973692887,-0.009243925611049688,1.3155562921899158
2938,0.059848748903068016,-0.13068581963671938,-0.38186802556625155
3022,1.5957040322042522,-0.031205182223108547,-1.0651072610389887
3071,-4.217511823916437,-0.054118275560990324,0.7480990280526677
3120,-3.6309164536211167,-0.040184751919592615,1.2467235657791775
3173,-2.6072221209780104,-0.005269712749684018,0.4666758340556493
3309,-2.7546858665574128,0.008401269682876961,0.6067291223224073
3794,5.2336306788129345,-0.008234194512778476,-1.543977748684418
3860,-6.9072705022390934,-0.008533130270294492,1.530103858573183
4035,-3.2216640833096966,-0.013727350810305627,0.6752371440629176
4140,7.868921345514741,0.08821312304517083,-1.8066567032895995
4170,1.7276500091109634,0.08754497414053919,0.4737551696403085
4177,-0.40473123748900774,-0.018068032477096603,-0.7672565680476112
4365,-2.762491047374967,-0.009360485318596045,0.6282945761538639
4406,8.45206283572004,0.20685986932390338,-1.209493168788608
4460,-4.116739843274947,0.013558131681612271,0.47779592794223896
4674,8.169022696794972,0.12848116117077288,-0.5434777267324098
4694,-4.835649853622441,-0.04151723004492057,1.3571488470352322
4703,-3.251232258706837,-0.03738442141913329,0.5643913532895554
4770,0.19956384404755048,-0.11934467978529614,0.08457868616741503
5020,-0.2668366644295872,-0.04729303873312671,0.1627046428011057
5178,-5.923040451915566,0.0016687157228632823,1.2068723120035856
5207,-3.0090567323519046,-0.015308399103562706,0.953412733738535
5343,8.518153788028568,0.3811210595337811,-1.5951504274755628
5543,-4.420035367242502,-0.011790257821553659,0.9660899202628899
5560,3.7326147667424063,0.015415798969376657,-0.574948310674768
5797,-2.7931235054037256,0.12755445260730083,0.5874656679685004
5967,-2.9187782902185955,0.3352965078205791,-0.46200675253732965
6230,-5.832876568014693,-0.028444860612262705,1.1815578117770813
6328,-3.4795602669779884,-0.008355824848996784,0.7263181623988925
6515,-0.8948873026095668,-0.035658890833768296,0.20949869729347123
6661,7.740196479266627,0.1490237565331947,-1.2543574741036725
6662,5.0721143282845915,0.14140590723160826,-1.3965000648214734
6666,-0.6479042496329914,0.0007155473771345382,-0.13054061808838688
6713,-4.055427873805577,-0.013053954740924807,0.9953488689327867
6818,-8.59750752628131,-0.42538746635679864,4.342810225761315
6836,1.699677525880046,-0.062331189513678525,-0.7936187697193587
7091,-4.302554679147203,-0.05145691765466998,0.9542521670349035
7179,-6.505008535639055,-0.06457218782257716,0.1423612806217618
7212,9.421951987557843,0.3016513504252068,-0.0939483843025215
7264,4.2144863644198125,-0.014591051869871087,-1.1200908006128443
7335,2.430339233902777,-0.19951306889122916,-1.1903690032509546
7383,2.863880545845219,-0.045006167534125154,-0.6273460511165055
7528,1.6044882369943805,-0.054389085708798725,0.38828573084793705
7529,1.7662636299906291,-0.0319697194236682,-0.7158198807643893
7659,8.066288603378283,0.006807866328743731,-2.5477874827671823
7724,-1.4198960357497883,-0.13645931916119303,-0.8162448372055922
7818,-7.726384660401975,-0.04004580544614194,2.184669941774702
7999,-5.49661710991552,0.007167852849446943,-0.5420439617963679
8028,8.811153825076204,0.25426768668810495,-1.8423558747122972
8067,-2.1076148851955128,0.1525351401526863,1.082965399485052
8107,-1.0559044132811408,-0.003177001318970817,0.4056642001811316
8157,6.009190036282589,-0.0953407452333577,-0.5705121151000014
8235,-5.044913332724288,-0.11931116883974037,1.4392693102305327
8243,-0.1414449525201158,-0.14605334905528777,1.649395226029653
8474,-3.6703212372747616,0.16509517397682538,0.9394974251887451
8513,8.962402615020373,0.210162693749245,-2.1942581248927624
8800,2.7171906564426327,0.14234709163848988,-1.0566144602633896
8884,-4.006902198394258,0.008328215737694402,1.5801359094388168
8969,-4.104316109908876,0.009536804326343162,-0.7544946792399827
9022,-2.5417678470764393,-0.022367213495008666,0.4407641467099085
9168,-1.129183779191787,-0.027033744731067462,-0.4244960765188265
9277,4.560109732334422,-0.09508559515173538,-1.4734668313578907
9335,3.1759257136946917,0.017171734012898242,-1.0903780754059624
9373,-3.0398489582207153,0.011877608546542693,0.6438932474356935
9389,4.910561153393377,0.09341909916035145,-1.2588456358626912
9396,-0.018327907034136448,-0.035923773515232155,0.5202853483142804
9404,11.671886178633068,-0.20175266892265356,-3.2097618374754804
9459,-0.9538047036031244,-0.02620316686787541,0.27206143716572306
9470,-5.9512816505812784,-0.0016116341583195296,1.3053002663893238
9713,-0.5270657012456941,-0.030838915417451686,-0.29241110573517437
5125520792,2.2606574918268887,0.040128540695672565,-0.37399748688808265
