group,intercept
1017,11.731664026337612
1030,-6.2347271438705585
1111,-4.096006377292164
1234,-0.7800696095215416
1257,-7.989034770440892
1261,-3.9001273785229036
1292,-4.463460506068605
1301,-6.5178095842328645
1389,-5.457174726189939
1487,-7.889605227507254
1490,-1.3902423721454222
1515,4.959241766819385
1551,-0.34039159998119295
1693,10.545341429871247
2044,-1.1653211053094046
2122,0.9003755797435053
2177,-6.3064220472768495
2204,3.2444543300600936
2298,18.20664751779167
2403,3.060393883828501
2410,3.8985345483801312
2456,6.777420778003323
2591,-4.441178855353843
2693,6.97177248647452
2720,-7.188585673188717
2938,-1.1820281254163791
3022,-2.7729392711721026
3071,-6.7794585056349455
3120,-3.548791588293401
3173,-1.567214505757317
3309,-3.9112239171325967
3794,5.262237657092136
3860,-7.010413306885627
4035,-7.410440856731467
4140,10.604613555640375
4170,4.406051239516966
4177,0.23844773121757237
4365,-6.352013800863837
4406,15.32745028661946
4460,-5.338915611600422
4674,12.456179363632263
4694,-5.3864241929715195
4703,-4.660207972422938
4770,5.9746886646955994
5020,-3.181285347039232
5178,-7.793676230516237
5207,-3.7355087780477407
5343,21.234463122037383
5543,-6.772064159109319
5560,2.5156473853172976
5797,-0.708555011486521
5967,5.6125896554469925
6230,-5.237672315727273
6328,-6.835478324041768
6515,-6.356683431722899
6661,7.179462850167728
6662,6.274990820261856
6666,-4.8518399808077115
6713,-6.6221873325894665
6818,-4.882475712567368
6836,-0.8113784332234545
7091,-4.702582021853791
7179,-5.176128532454954
7212,19.77417425262998
7264,3.7130476909362926
7335,-2.4918539035132934
7383,3.100510385569043
7528,2.6297047683142027
7529,-1.7859963892389519
7659,5.555742910096371
7724,-4.1142069484013755
7818,-5.682962212693183
7999,-6.916116806653763
8028,17.393457014499955
8067,1.0684596653737841
8107,-5.0669246910265375
8157,4.982100121508905
8235,-6.631460350134021
8243,4.925632322939
8474,-2.3306307180614296
8513,14.445085942316501
8800,0.904385860217655
8884,-3.4630575124525413
8969,-7.779306068058573
9022,-3.6661255016437284
9168,-2.6931180703838318
9277,2.516312476723791
9335,2.440295505184452
9373,-4.536332908562695
9389,3.4283422741718756
9396,-0.41786079579605695
9404,7.398994254266008
9459,-3.9035689320619733
9470,-7.887078541098789
9713,-2.179943597665158
5125520792,1.6353740667150287
