Direction,N,MAE,RMSE,Bias
improving,121,6.446503292367164,8.13213199964118,6.026942328395536
stable,956,2.786579685074873,4.001494213697138,0.21424546632179456
worsening,119,8.012029503325147,10.17834701276786,-7.849400735626019
