group,intercept
1017,7.325090720826333
1030,-5.800675672476726
1111,-6.202072092609466
1234,0.3264085365020622
1257,-8.023546600697362
1261,-8.03006851519077
1292,-4.006437499876192
1301,-4.694321682902022
1389,-7.5768899393470575
1487,-6.688914695886138
1490,-2.120654636007935
1515,4.721384285194372
1551,-0.20516479208359015
1693,-0.14023545980410607
2044,-3.6250634517964855
2122,0.8162609082227311
2177,-2.4052611563224384
2204,3.809683923974678
2298,16.120585080685554
2403,3.806715424571466
2410,7.19981190220608
2456,6.858423564767415
2591,-2.3087408243402776
2693,5.1069605316793165
2720,-7.402215237037607
2938,-2.9325145198410016
3022,-3.8813109914148503
3071,-4.8459982595296
3120,-4.731217961471256
3173,-2.967004652905854
3309,-3.715480184177935
3794,6.021001564863451
3860,-8.686550453826214
4035,-3.5080838348673766
4140,9.225559752670716
4170,3.9795976807650146
4177,-2.007168405317423
4365,-3.846864680705886
4406,14.31789908945215
4460,-4.599724148501394
4674,11.443975519960507
4694,-6.589090878858713
4703,-5.195344298606579
4770,0.14023545980400445
5020,-1.7564804542569523
5178,-7.383458537004597
5207,-3.4461371697897265
5343,23.45449637955376
5543,-5.600633854948359
5560,2.875463065610321
5797,-1.564495971759594
5967,4.336245482764031
6230,-7.051984146312687
6328,-3.6811968056152113
6515,-1.4723022315711651
6661,10.779041439419402
6662,8.860283133097536
6666,-1.0313170534223306
6713,-4.994754800601352
6818,-5.477215158973883
6836,0.37673332616833527
7091,-5.84780908235574
7179,-8.118402446649759
7212,20.549574257402043
7264,4.053481301929209
7335,0.5742507835960695
7383,0.9607413425085533
7528,0.6689619628810645
7529,0.8987683329077646
7659,7.411078011690058
7724,-4.47773743901226
7818,-9.70414272598209
7999,-7.818906594309448
8028,16.93015041235404
8067,-1.3811872426473848
8107,-1.742686686162101
8157,2.977142957454955
8235,-6.995297255703783
8243,0.872483420800488
8474,-1.2448038145796214
8513,14.464654472818202
8800,5.05355474728873
8884,-4.057561805509426
8969,-5.088386342364069
9022,-3.2566449506754855
9168,-1.4226504727915235
9277,1.5072951582654277
9335,3.5647769343041995
9373,-4.0213932709180416
9389,4.6377251090409075
9396,-1.1475322602505766
9404,7.910873420934628
9459,-1.8361141729251118
9470,-7.307309505380421
9713,-1.1883967834020737
5125520792,1.9161851633417881
