Method,Accuracy,F1_macro,P_neg,R_neg,F1_neg,P_zero,R_zero,F1_zero,P_pos,R_pos,F1_pos
Model,0.7474916387959866,0.5512066762239355,0.846441947565543,0.9094567404426559,0.8768186226964112,0.0,0.0,0.0,0.6676737160120846,0.9285714285714286,0.7768014059753954
B0: No Change,0.18645484949832775,0.10476861639652336,0.0,0.0,0.0,0.18645484949832775,1.0,0.3143058491895701,0.0,0.0,0.0
B1: Population Mean,0.41555183946488294,0.1957078164993109,0.41555183946488294,1.0,0.5871234494979327,0.0,0.0,0.0,0.0,0.0,0.0
B2: Last Value Carried Forward,0.41555183946488294,0.1957078164993109,0.41555183946488294,1.0,0.5871234494979327,0.0,0.0,0.0,0.0,0.0,0.0
B3: Person-Specific Mean,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B4: Regression to Mean,0.8135451505016722,0.6055875102711585,0.6902777777777778,1.0,0.8167625308134757,0.0,0.0,0.0,1.0,1.0,1.0
