model,repeat,fold,n_held_pids,n_obs,n_train,n_val,AUC,BalAcc,F1macro,SensW,PPVW
LightGBM,4,1,19,86,952,316,0.832,0.752,0.61,0.7,0.368
LightGBM,4,2,19,83,956,316,0.834,0.672,0.53,0.25,0.1
LightGBM,4,3,19,83,956,315,0.761,0.594,0.453,0.0,0.0
LightGBM,4,4,19,77,971,322,0.765,0.661,0.484,0.429,0.136
SVM,0,0,20,89,936,310,0.657,0.512,0.429,0.1,0.045
SVM,0,1,19,81,967,320,0.655,0.547,0.426,0.333,0.105
SVM,0,2,19,75,974,322,0.712,0.482,0.281,0.333,0.031
SVM,0,3,19,84,953,314,0.711,0.508,0.437,0.462,0.188
SVM,0,4,19,82,954,314,0.666,0.525,0.349,0.2,0.026
SVM,1,0,20,86,942,310,0.521,0.32,0.259,0.0,0.0
SVM,1,1,19,84,954,316,0.757,0.663,0.388,0.8,0.098
SVM,1,2,19,82,963,318,0.723,0.583,0.447,0.5,0.073
SVM,1,3,19,79,968,320,0.596,0.436,0.373,0.091,0.053
SVM,1,4,19,80,957,316,0.744,0.534,0.441,0.111,0.167
SVM,2,0,20,85,943,308,0.793,0.684,0.386,1.0,0.083
SVM,2,1,19,83,955,319,0.547,0.446,0.335,0.167,0.042
SVM,2,2,19,81,963,319,0.709,0.514,0.414,0.1,0.071
SVM,2,3,19,79,964,319,0.609,0.398,0.381,0.25,0.054
SVM,2,4,19,83,959,315,0.617,0.455,0.334,0.0,0.0
SVM,3,0,20,89,940,310,0.645,0.464,0.401,0.25,0.059
SVM,3,1,19,80,963,320,0.679,0.471,0.375,0.2,0.04
SVM,3,2,19,80,961,317,0.709,0.445,0.337,0.286,0.069
SVM,3,3,19,81,955,315,0.78,0.581,0.505,0.273,0.25
SVM,3,4,19,81,965,318,0.581,0.414,0.317,0.0,0.0
SVM,4,0,20,82,949,311,0.648,0.471,0.363,0.1,0.04
SVM,4,1,19,86,952,316,0.68,0.499,0.374,0.5,0.132
SVM,4,2,19,83,956,316,0.791,0.633,0.366,0.75,0.067
SVM,4,3,19,83,956,315,0.588,0.386,0.328,0.167,0.043
SVM,4,4,19,77,971,322,0.676,0.561,0.388,0.286,0.071
