Direction,N,MAE,RMSE,Bias
improving,121,6.737010185230345,8.492427808844315,6.261960680610569
stable,956,2.753157495225225,3.957953130236393,0.1346145454499492
worsening,119,7.667714166956192,9.646685254603653,-7.448644939530049
