n_estimators,max_depth,learning_rate,num_leaves,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,val_bacc,val_f1_worse
300,5,0.1,63,20,0.8,1.0,0.1,0.1,0.5810699588477366,0.22222222222222224
500,3,0.1,31,10,1.0,1.0,0.1,1.0,0.5805408583186361,0.14285714285714285
500,3,0.1,15,10,1.0,1.0,0.1,1.0,0.5805408583186361,0.14285714285714285
500,3,0.2,63,20,0.8,1.0,0.0,1.0,0.5803057025279248,0.24242424242424246
500,3,0.2,31,20,1.0,1.0,0.0,1.0,0.5803057025279248,0.24242424242424246
300,-1,0.2,63,30,1.0,0.8,0.0,0.1,0.5800411522633745,0.2456140350877193
300,5,0.2,15,20,1.0,1.0,0.0,0.1,0.5792768959435627,0.25806451612903225
500,-1,0.1,63,10,1.0,1.0,0.0,0.1,0.5790123456790123,0.23333333333333334
500,3,0.1,63,20,1.0,0.8,0.1,1.0,0.5790123456790123,0.19444444444444445
500,-1,0.05,63,30,1.0,1.0,0.0,0.1,0.5782480893592005,0.26229508196721313
500,5,0.1,63,30,1.0,0.8,0.0,0.1,0.5769547325102881,0.23333333333333334
500,3,0.2,31,10,1.0,1.0,0.0,0.1,0.5756613756613757,0.1875
500,3,0.2,31,10,0.8,1.0,0.0,0.1,0.5756613756613757,0.1875
500,3,0.2,63,10,1.0,1.0,0.0,0.1,0.5756613756613757,0.1875
300,3,0.2,31,10,1.0,0.8,0.1,1.0,0.5728395061728395,0.19444444444444445
300,3,0.2,31,10,0.8,0.8,0.1,1.0,0.5728395061728395,0.19444444444444445
500,5,0.1,15,20,0.8,1.0,0.0,1.0,0.5725749559082892,0.19047619047619047
500,3,0.1,31,10,0.8,0.8,0.1,1.0,0.5718106995884773,0.19718309859154928
500,3,0.2,63,10,1.0,1.0,0.0,1.0,0.5710464432686656,0.23880597014925375
500,3,0.2,15,10,0.8,1.0,0.0,1.0,0.5710464432686656,0.23880597014925375
500,-1,0.2,31,10,1.0,1.0,0.0,0.1,0.5707818930041152,0.2456140350877193
500,-1,0.1,63,30,1.0,1.0,0.0,0.1,0.5702821869488536,0.2903225806451613
500,3,0.2,15,20,0.8,0.8,0.1,1.0,0.5684891240446796,0.273972602739726
500,3,0.2,31,20,0.8,0.8,0.1,1.0,0.5684891240446796,0.273972602739726
500,-1,0.1,31,30,0.8,1.0,0.0,0.1,0.5684597295708407,0.20689655172413796
500,-1,0.2,31,10,1.0,1.0,0.0,1.0,0.5674309229864786,0.22641509433962265
500,5,0.2,31,30,0.8,1.0,0.0,1.0,0.566901822457378,0.14285714285714285
500,5,0.1,63,30,0.8,1.0,0.0,0.1,0.5664021164021164,0.2033898305084746
300,-1,0.2,15,30,0.8,1.0,0.0,0.1,0.5653733098177544,0.19999999999999998
500,-1,0.2,31,30,1.0,1.0,0.0,0.1,0.5640799529688418,0.18518518518518517
300,3,0.2,15,30,0.8,1.0,0.0,0.1,0.5622868900646678,0.18461538461538463
