group,intercept,mean_daily_switches,mean_daily_screens
1017,-1.9811978766380616,6.0494240644282105,-7.303460356903075
1030,-3.9104164549897615,-1.8260173730668643,2.747339602437692
1111,-5.942055400891392,-0.32491271136417266,1.1201960722928583
1234,0.07421926739491688,0.3967978075120051,-0.5029466857970171
1257,-6.709971330570233,1.7936352723634321,-1.4302048740178033
1261,-7.4102655623275036,0.6332773447030132,0.10026049092617484
1292,-3.5808696099812027,-0.08609751231997992,0.5381302506684708
1301,-4.464927494449777,-0.08878850483268641,0.648267619051862
1389,-7.141539412435291,-0.06518219615709264,0.9389764771028473
1487,-6.058511264721374,0.1390661533043107,0.5555261193919612
1490,-2.646518591726744,-0.10737709760159128,0.45212056654133503
1515,5.458174666949621,0.6617309440990626,-1.4814960897316616
1551,1.5322192892833666,-2.846033376371854,3.3655680818465825
1693,0.6369963201521868,-0.0616827409853235,7.926604000424442e-05
2044,-3.108317895540937,-0.44334496724087136,0.9258215550430289
2122,0.6542870153365058,0.8294246172182337,-1.1130557324121801
2177,-2.4328531876615402,0.28505425985797417,-0.06292305206079152
2204,3.8079335000227004,1.6409016362902173,-2.503537030905228
2298,13.001951408695295,-6.225970361225747,6.203313014843141
2403,11.956350219330279,3.9558082387303286,-6.374780097428044
2410,7.021567722776359,-0.3920025995035523,-0.35629666181816066
2456,3.9472450421725407,-1.0964599533949229,0.8943179148462113
2591,-2.0904536095266804,-0.226312310586942,0.5344139010940872
2693,5.0522047414351485,-1.3610251945550156,1.0901199086545394
2720,-7.116892932084854,1.126091223625577,-0.5486326081466227
2938,-0.8223012105050767,-0.2748068427475706,0.4412694680401525
3022,-0.3900883831652239,-1.315537226340596,1.6857201719364538
3071,-4.920411058706101,1.2106385443342147,-0.9185698473497718
3120,-4.272334539056142,1.3841824185682265,-1.2120104945642685
3173,-3.091070714976206,0.34359877364052394,-0.0568384173461679
3309,-3.826286078971495,0.8951013715513745,-0.6564713021246456
3794,5.5136815801908545,-1.3588653286294554,1.0314182553074915
3860,-8.522024788663254,0.5500170405820894,0.3392590473747903
4035,-3.678775271150429,0.44170102674158357,-0.10851930783483185
4140,9.914570637845415,-0.08217572774250925,-1.0907093105467875
4170,0.6289282335917175,2.8996171763409606,-3.693630517883004
4177,-1.4735753000766942,0.3564703478726665,-0.26929870708849
4365,-3.729432023037176,0.43668501935881265,-0.09606811426876255
4406,10.867564930244686,-3.9516065379294947,3.6235936263210404
4460,-5.208077483283355,0.6980612521288352,-0.24470164682072332
4674,11.195994925258734,0.0005354200597913472,-1.3454072118799894
4694,-6.148083466263076,0.6920372273340525,-0.12320374644592746
4703,-3.6812871768965283,1.5113952607851566,-1.4430447463108553
4770,-0.4908183184316106,0.33252222005589505,-0.35582149935393065
5020,-1.8861558068184265,-0.7700705633223184,1.1878852664497377
5178,-4.678231305787759,2.277298673781937,-2.278509153747223
5207,-3.638128059209323,0.6571754463225344,-0.3816901765619476
5343,22.28147778824737,-0.2861809299751088,-2.3239967707059206
