Direction,N,MAE,RMSE,Bias
improving,121,6.154200878802536,7.887255298159547,5.765711431912816
stable,956,2.73177559899688,3.917333241962843,0.19031969879677094
worsening,119,7.567045111349129,9.425201564231225,-7.391569036228153
