group,intercept,prior_cesd,mean_daily_switches,mean_daily_screens
1017,-4.3691519980522,0.12054901676304512,5.612387666712598,-5.248084162822359
1030,-3.4194067185283883,0.023019393705681332,-1.5212826800314136,2.451432572889055
1111,-4.489797258326312,-0.013279134153012998,0.11382704640481156,0.846076546649501
1234,1.3808585807649294,-0.08148698596952805,0.3370317320120213,-0.7042331525454953
1257,-5.806202705371491,-0.007301098553856072,2.284214356419249,-1.3092389555236152
1261,-5.641687086262165,-0.09631857084641579,1.1858974062407373,-0.16650038494485564
1292,-2.982029899611647,-0.05826707749067973,0.27402809400708183,0.3143898513292374
1301,-3.428100550293423,0.0029259282628114293,0.2992522319836757,0.41929342205219733
1389,-6.560933137280265,-0.14947748533214744,0.5689795607731307,0.6983208217116514
1487,-5.063508876085278,-0.007644799220735332,0.7307084998386942,0.2820977233339862
1490,-1.570990625605581,0.03996751207582054,-0.06960721628865049,0.43718291374029616
1515,6.3743555808239,-0.028982655645145926,-0.5906666797928533,-0.7308637346708111
1551,3.20171402042378,-0.06097846100592241,-2.6746628175972793,2.2799756512703833
1693,0.38551788982495794,-0.013763568626940278,-0.1466273792674338,0.07087137099872104
2044,-2.281887362627241,-0.01863870045472548,-0.27853799028400605,0.784652232514789
2122,-0.07730293770555799,0.010504584183948635,0.6321135127823388,-0.6852323043741384
2177,-2.0311787745174867,-0.018020248765711032,0.4850057340200628,-0.11069436738628777
2204,9.094964732532684,-0.30842866573963956,0.9098315523062288,-3.122785281287172
2298,7.11546859514624,0.2213385922529441,-5.448116613363484,4.693105568684495
2403,10.757286906187177,0.011872888899432166,2.344038345974819,-5.019168107897249
2410,7.072516896625926,-0.02312664675380583,-1.1820696060949556,-0.23411128613693166
2456,4.754696415741576,-0.014696406557669722,-1.8858730472575453,1.098933858621486
2591,-1.2015005257037972,-0.05882905395654064,0.1923887658237251,0.0275660827893649
2693,4.928299332741492,0.052976152484552994,-1.7504268074474438,0.9209712248149524
2720,-6.22498839116874,-0.005142836351559361,1.6238358286934373,-0.4728318826801419
2938,0.31301528790282973,-0.12153967303495015,-0.26580174835060005,0.1675795901258359
3022,1.5419187316295233,-0.03959200368471731,-1.2764621783467818,1.0667862238788683
3071,-3.9068579543645385,-0.055337905516741726,1.4042031989861803,-0.7609549567696825
3120,-3.748567763678266,-0.031911086205651064,1.6138733321256495,-1.0036741985174313
3173,-2.5899498766308446,0.0034484069623863228,0.46685219761949853,0.03993620400890871
3309,-2.9448033669430282,0.01067716421061627,0.9592327358512589,-0.43399800938414146
3794,5.413526103532968,-0.012210677243916578,-1.8048263423776918,0.8378490982098409
3860,-7.314995692306313,0.005838506794685047,1.2225515416725132,0.22618060951122376
4035,-3.4818753905690936,-0.010051089632799992,0.7810954192089659,-0.12486934271161523
4140,8.577438030948032,0.07644544624932512,-1.2113055031876339,-0.4791798695679039
4170,1.2223653637972607,0.026792081958760875,2.426406632510601,-2.9885381414664365
4177,-0.2193924695703291,-0.02468841586881191,0.10837718807190933,-0.11047546005065811
4365,-3.144694791382741,-0.0049051588654597245,0.6594475484775739,-0.05730845138705454
4406,7.208561658534345,0.16141737064738046,-3.858011017803234,2.8705624159171474
4460,-4.487276658021007,0.01708024191762162,0.6852878541060141,0.20597637566106175
4674,8.253941299722339,0.12478185594131333,-0.8391733913929769,-0.7691613218710773
4694,-5.210466418029643,-0.030951357542130995,1.2524377062878225,-0.28010365229367584
4703,-2.6554611166973547,-0.03928357903551455,1.3799881442529474,-0.9994346455756193
4770,-0.0038101905940702563,-0.11040857439831932,0.4252664480287651,-0.5293424495447411
5020,-0.6591210673113314,-0.03857168962909934,-0.53274964760577,0.7317105835051854
5178,-4.075960716145711,-0.013659448624230292,2.2805659951694772,-1.692790493041592
5207,-3.2244771395151126,-0.010228666823063462,0.9565402422700782,-0.37133664611691475
5343,9.356923872089325,0.355195861176763,-0.7680550658047229,-1.014178168896141
5543,-4.179654412912246,-0.011530528807130543,1.3535381883152462,-0.6197745452329023
5560,3.9476992189861395,0.027950160364131792,-2.2016346775119806,1.6480815476206616
5797,-1.9637895135827992,0.13164134100650887,-0.21468454421045458,0.7426453025429888
5967,-1.8228674324649448,0.33483858566032326,-2.81375392323614,3.713330143146048
6230,-5.63180095135165,-0.027491051084788748,1.8451419762862757,-0.8660632693859371
6328,-3.661468827088088,-0.0011644603041351315,0.5702175623237444,0.15712880762102477
6515,-1.3137536873988167,-0.034325758240533404,0.4306872500814348,-0.21434361717493988
6661,8.01491580948517,0.13740706745110207,-1.7231104668805421,0.2674423668634975
6662,5.266580735309764,0.1391503067502332,-1.437310561310097,0.528457791771028
6666,-0.7223775164745703,-0.00040713203364157145,0.254886963951905,-0.137247905089809
6713,-4.457954687943979,-0.0077468356185729165,1.1248579838038337,-0.29470421143093145
6818,-10.624895758345538,-0.3996020311949284,5.847735454376911,-4.42180453914521
6836,1.2951017620600802,-0.06898889984954135,-0.43527697835191925,0.16247838394202585
7091,-4.55010766831183,-0.042581269476142256,0.9916684276369241,-0.1429525752743258
7179,-6.601244490940587,-0.04863249912859947,-0.04548225366590014,1.448630525949515
7212,8.358103691580745,0.2446338669525232,3.863874569932726,-6.042025693863582
7264,4.447557411643722,-0.024525717331654234,-0.6640380501243177,-0.24156678344821447
7335,1.6055695695051357,-0.16890182138426746,-1.944753517480808,1.7516006090806227
7383,2.8567115509204104,-0.0482308114379023,-0.1456863008810786,-0.4859596770312966
7528,1.9187290588643189,-0.035203162334495997,-0.5798654975847768,0.2397970964538012
7529,1.0082407537599591,-0.025943081923828333,-1.3071289547388123,1.237318689677905
7659,8.033930487256146,0.0034145242497832014,-3.0966143059038074,1.7283723201252834
7724,0.3514078236151993,-0.10665524871814368,-1.2843089616939523,1.313457114491667
7818,-4.349652521810685,-0.014860405922607275,1.4517915063767655,-0.6875018760215117
7999,-6.767731347243367,0.010797735066506033,-0.33877910072109696,1.819943549788381
8028,8.254250739824167,0.24303661973434157,-3.5585597576107375,2.332968616489741
8067,-2.084883309776554,0.15969693358479495,-0.5240505659542629,1.144162663442574
8107,-1.2841388695058311,-0.01645473694484551,1.0095515847448846,-0.8663664600027445
8157,6.026457175396406,-0.09590132389173975,0.13491704297829732,-1.5013441737183977
8235,-5.447083706364501,-0.10665067179924895,1.7483070212233884,-0.824387047039475
