C,l1_ratio,val_bacc,val_f1_worse
0.05,0.9,0.6344372527867673,0.3218390804597701
0.05,0.99,0.6342430780294858,0.3214285714285714
0.005,0.1,0.6327292340884574,0.3333333333333333
0.01,0.99,0.6234699748291982,0.3373493975903614
0.05,0.5,0.6197842502696872,0.32000000000000006
0.1,0.99,0.618705501618123,0.3181818181818182
0.01,0.9,0.6180762315713773,0.3274853801169591
0.001,0.1,0.6180762315713773,0.3274853801169591
0.005,0.5,0.6180762315713773,0.3274853801169591
0.01,0.5,0.6180762315713773,0.3274853801169591
0.01,0.1,0.6109600862998922,0.3016759776536313
0.1,0.9,0.6105249910104279,0.3218390804597701
0.005,0.9,0.609507371449119,0.3333333333333333
5.0,0.1,0.6074829198130169,0.31016042780748665
1.0,0.1,0.6053254225098885,0.30526315789473685
0.005,0.99,0.6028407047824523,0.3225806451612903
5.0,0.5,0.6018950017979144,0.3010752688172043
5.0,0.9,0.6018950017979144,0.3010752688172043
5.0,0.99,0.5986587558432218,0.29787234042553196
0.5,0.1,0.5915569938870909,0.29787234042553196
1.0,0.5,0.5874829198130169,0.27956989247311825
0.001,0.5,0.5870945702984538,0.2891566265060241
0.05,0.1,0.5818950017979144,0.2793296089385475
1.0,0.99,0.5763070837828119,0.26229508196721313
1.0,0.9,0.5741495864796836,0.2594594594594594
0.1,0.5,0.5737144911902193,0.2824858757062147
0.1,0.1,0.5659690758719885,0.2651933701657459
0.5,0.5,0.5648903272204243,0.2608695652173913
0.5,0.9,0.5614599065084502,0.2555555555555556
0.5,0.99,0.560381157856886,0.25414364640883974
0.001,0.9,0.49316792520676017,0.0
0.001,0.99,0.4849874145990651,0.0
