Direction,N,MAE,RMSE,Bias
improving,121,4.597512748647907,5.767667639203188,4.588236033783056
stable,956,1.6623783094727573,2.3048703057647555,0.11178063134390702
worsening,119,5.566911518199329,6.603105711499516,-5.563351627332137
