label,condition,model,AUC,AUC_lo,AUC_hi,BalAcc,BalAcc_lo,BalAcc_hi,F1macro,F1macro_lo,F1macro_hi,SensW,SensW_lo,SensW_hi,PPVW,PPVW_lo,PPVW_hi
balanced_tercile,base (21),XGBoost,0.655,0.615,0.694,0.462,0.417,0.509,0.452,0.406,0.498,0.255,0.186,0.329,0.361,0.269,0.458
balanced_tercile,base (21),LightGBM,0.658,0.62,0.699,0.47,0.422,0.518,0.464,0.416,0.511,0.314,0.233,0.397,0.384,0.296,0.474
balanced_tercile,base (21),SVM,0.651,0.615,0.688,0.455,0.411,0.5,0.444,0.397,0.49,0.263,0.191,0.339,0.336,0.248,0.422
balanced_tercile,base + behavioral lag (38),ElasticNet,0.642,0.603,0.681,0.465,0.417,0.511,0.455,0.409,0.5,0.255,0.188,0.333,0.337,0.25,0.422
balanced_tercile,base + behavioral lag (38),XGBoost,0.659,0.617,0.702,0.489,0.443,0.535,0.48,0.43,0.527,0.299,0.222,0.373,0.414,0.323,0.511
balanced_tercile,base + behavioral lag (38),LightGBM,0.64,0.599,0.68,0.472,0.425,0.519,0.463,0.417,0.51,0.285,0.212,0.362,0.371,0.283,0.462
balanced_tercile,base + behavioral lag (38),SVM,0.64,0.6,0.679,0.472,0.426,0.519,0.468,0.42,0.513,0.328,0.248,0.405,0.385,0.294,0.472
balanced_tercile,base + behavioral lag + pmcesd (39),ElasticNet,0.718,0.677,0.756,0.53,0.482,0.578,0.531,0.481,0.577,0.496,0.409,0.576,0.476,0.397,0.556
balanced_tercile,base + behavioral lag + pmcesd (39),XGBoost,0.723,0.682,0.764,0.555,0.51,0.602,0.556,0.51,0.601,0.562,0.479,0.645,0.49,0.416,0.566
balanced_tercile,base + behavioral lag + pmcesd (39),LightGBM,0.732,0.69,0.773,0.557,0.511,0.608,0.559,0.512,0.606,0.555,0.471,0.642,0.481,0.405,0.558
balanced_tercile,base + behavioral lag + pmcesd (39),SVM,0.721,0.682,0.76,0.557,0.511,0.605,0.556,0.508,0.602,0.496,0.411,0.577,0.519,0.432,0.606
