Direction,N,MAE,RMSE,Bias
improving,121,6.254471305815917,7.980255670023506,5.869989419142001
stable,956,2.7396943354878505,3.969354389683164,0.20120029697431377
worsening,119,7.74838934949269,9.721081584438668,-7.585010114484269
