Method,Accuracy,F1_macro,P_neg,R_neg,F1_neg,P_zero,R_zero,F1_zero,P_pos,R_pos,F1_pos
Model,0.6061872909698997,0.44668106649819433,0.6795366795366795,0.7082494969818913,0.6935960591133005,0.0,0.0,0.0,0.5501474926253688,0.7836134453781513,0.6464471403812825
B0: No Change,0.18645484949832775,0.10476861639652336,0.0,0.0,0.0,0.18645484949832775,1.0,0.3143058491895701,0.0,0.0,0.0
B1: Population Mean,0.41555183946488294,0.1957078164993109,0.41555183946488294,1.0,0.5871234494979327,0.0,0.0,0.0,0.0,0.0,0.0
B2: Last Value Carried Forward,0.3068561872909699,0.32342706230925006,0.3063063063063063,0.3420523138832998,0.3231939163498099,0.4223300970873786,0.3901345291479821,0.40559440559440557,0.25287356321839083,0.23109243697478993,0.2414928649835346
B3: Person-Specific Mean,0.4698996655518395,0.442246345343527,0.4722222222222222,0.5814889336016097,0.521190261496844,0.4806201550387597,0.27802690582959644,0.3522727272727273,0.46373626373626375,0.4432773109243697,0.4532760472610097
B4: Regression to Mean,0.43478260869565216,0.3121714837595689,0.420256111757858,0.7263581488933601,0.532448377581121,0.0,0.0,0.0,0.5112540192926045,0.33403361344537813,0.4040660736975858
