Method,MAE,RMSE,R2,Within-R2-median,Between-R2,MedianPersonMAE,Q1_MAE,Q3_MAE
ElasticNet (pheno_pid),3.783938512288123,5.669610776375128,0.41755317856420593,0.373865622124844,0.4908223230084706,3.331079786282159,1.921937856404148,4.741761723180339
B0: No Change,4.687290969899665,7.430502983105504,-0.0004288674403372106,-0.004415920220991021,-0.0372973342194709,4.5,2.475,6.035714285714286
B1: Population Mean,4.713275019295087,7.428910145027099,0.0,-0.006508344342814332,-5.852353528323917e-05,4.541958041958042,2.487820512820513,6.070054945054944
B2: Last Value Carried Forward,7.727489066117828,11.979101674459354,-1.600149332646763,-1.7299184912866388,0.33630993211720617,7.571428571428571,4.19493006993007,10.75
B3: Person-Specific Mean,4.709520069302678,7.3855228069277175,0.011646564278971372,0.0,1.0,4.566706021251475,2.4816666666666665,6.056972789115646
B4: Regression to Mean,4.69620313029594,7.396393501866889,0.008734923209228529,-0.0016270860857034997,0.7499853691161792,4.542116973935157,2.475854700854701,5.9375
