feature,coefficient,abs_coefficient
pid_5343,17.01750466439648,17.01750466439648
pid_8028,16.74945908793523,16.74945908793523
pid_7212,16.65103713169213,16.65103713169213
pid_2298,16.556944699323893,16.556944699323893
pid_4406,11.667227481188158,11.667227481188158
pid_1257,-10.095492499174112,10.095492499174112
pid_6661,10.051441417193123,10.051441417193123
pid_8513,9.810334157522568,9.810334157522568
pid_1017,8.716522313041933,8.716522313041933
pid_1111,-8.566351049588866,8.566351049588866
pid_1261,-8.298284319817215,8.298284319817215
pid_7179,-7.796564745658769,7.796564745658769
pid_8235,-7.763543364903722,7.763543364903722
pid_5543,-7.621117323151208,7.621117323151208
pid_1515,7.356223504484326,7.356223504484326
pid_4770,7.0273705557300215,7.0273705557300215
pid_3794,6.940861047190344,6.940861047190344
pid_4674,6.893907484273619,6.893907484273619
pid_4460,-6.793370123988287,6.793370123988287
pid_4694,-6.787660869220729,6.787660869220729
pid_8969,-6.748676502968681,6.748676502968681
pid_4140,6.5497636615056924,6.5497636615056924
pid_6662,6.437399426575616,6.437399426575616
pid_2410,6.403614368970842,6.403614368970842
pid_3860,-6.048224034072559,6.048224034072559
pid_3120,-5.998446805367286,5.998446805367286
pid_7818,-5.697261425330849,5.697261425330849
pid_2693,5.5879212552519215,5.5879212552519215
pid_1487,-5.545376029237924,5.545376029237924
pid_2720,-5.459186654507195,5.459186654507195
pid_9389,5.431263357968415,5.431263357968415
pid_7264,5.295937471444595,5.295937471444595
pid_2204,5.292398823126445,5.292398823126445
pid_9470,-5.273897837320453,5.273897837320453
gender_mode_1,-5.270215296281402,5.270215296281402
pid_7724,-5.252994093392593,5.252994093392593
pid_6230,-5.031030978189391,5.031030978189391
pid_8474,-4.927216449890239,4.927216449890239
pid_5178,-4.798322945725757,4.798322945725757
pid_7091,-4.5175752258101864,4.5175752258101864
pid_1030,-4.277429270366988,4.277429270366988
pid_7999,-4.257784983404692,4.257784983404692
pid_6818,-4.103694653352797,4.103694653352797
pid_8800,4.091831649945942,4.091831649945942
pid_1301,-3.9625291700121803,3.9625291700121803
pid_9404,3.8611080970128815,3.8611080970128815
gender_mode_2,-3.84092052677477,3.84092052677477
pid_3309,-3.509786511959567,3.509786511959567
pid_1389,-3.3562378361154868,3.3562378361154868
pid_9335,3.311572084419057,3.311572084419057
pid_7659,3.292030762304553,3.292030762304553
pid_3071,-3.245330182569319,3.245330182569319
pid_6713,-3.1913209129275324,3.1913209129275324
pid_9373,-2.965713667432154,2.965713667432154
pid_4365,-2.8578161287627277,2.8578161287627277
pid_6328,-2.8435966792859837,2.8435966792859837
pheno_1,-2.7347395292672063,2.7347395292672063
mean_daily_overnight_ratio_delta,2.6525983872769405,2.6525983872769405
pid_2591,-2.6060222691706656,2.6060222691706656
pid_4035,-2.570434008146687,2.570434008146687
pid_3022,-2.4489041949097,2.4489041949097
pid_8884,-2.416166234733547,2.416166234733547
pid_1292,-2.350912873047244,2.350912873047244
pid_2938,-2.2915344469709353,2.2915344469709353
mean_daily_social_ratio,-2.283535933767713,2.283535933767713
pid_5207,-2.274039218567208,2.274039218567208
pid_4170,2.118631867539098,2.118631867539098
pid_1693,2.085627047935532,2.085627047935532
pid_9022,-2.02989409145949,2.02989409145949
pid_5020,-1.957806305790734,1.957806305790734
pid_5125520792,1.9318051888858052,1.9318051888858052
mean_daily_social_ratio_delta,-1.9256695628315108,1.9256695628315108
pheno_2,-1.9125815387754517,1.9125815387754517
pid_9277,1.7957654485913246,1.7957654485913246
pid_2177,-1.778589965442155,1.778589965442155
pid_4703,-1.6761555404008723,1.6761555404008723
pid_2456,1.6537747604318285,1.6537747604318285
pid_4177,-1.6477620927156367,1.6477620927156367
pid_9168,-1.6311026435996778,1.6311026435996778
pid_3173,-1.601076032446314,1.601076032446314
pid_9713,-1.5278904588425617,1.5278904588425617
pid_7383,1.5107796510455656,1.5107796510455656
pid_2122,-1.4891286873049596,1.4891286873049596
age,-1.428737698713462,1.428737698713462
pid_2403,1.4252457668254972,1.4252457668254972
pid_7528,1.3725960788056402,1.3725960788056402
mean_daily_overnight_ratio,-1.2858988709952759,1.2858988709952759
mean_daily_unique_apps,-1.1386580896531422,1.1386580896531422
mean_daily_switches,1.0793152878957357,1.0793152878957357
pid_2044,-1.068686736913069,1.068686736913069
pid_5967,1.0384244353210765,1.0384244353210765
pid_1234,1.0168990096141548,1.0168990096141548
pid_1490,-1.0094088794471965,1.0094088794471965
pid_7529,0.9893891491421049,0.9893891491421049
pid_8107,-0.9054270312857777,0.9054270312857777
pid_6666,-0.8973333379382822,0.8973333379382822
pid_1551,0.853076524793406,0.853076524793406
pid_5797,0.8242877644641357,0.8242877644641357
pid_9459,-0.7194614318306013,0.7194614318306013
pheno_0,-0.7032656384901438,0.7032656384901438
prior_cesd,-0.6150509271521101,0.6150509271521101
pid_6515,-0.6107299031892751,0.6107299031892751
pid_8067,-0.552061410329501,0.552061410329501
pid_8243,-0.5318742617737678,0.5318742617737678
mean_daily_screens,0.5234842576924298,0.5234842576924298
pid_6836,-0.35507560275783673,0.35507560275783673
pheno_4,-0.3474290837510324,0.3474290837510324
active_day_ratio_delta,0.32925886881988375,0.32925886881988375
clip_dispersion_delta,0.3141610975340577,0.3141610975340577
mean_daily_switches_delta,0.30916269290653536,0.30916269290653536
mean_daily_screens_delta,-0.30827097621169397,0.30827097621169397
pid_8157,-0.26583184134234034,0.26583184134234034
switches_per_screen,0.2287652131072433,0.2287652131072433
pid_7335,-0.22049225730751718,0.22049225730751718
pheno_3,-0.19575202717603843,0.19575202717603843
switches_per_screen_delta,-0.18832269956193895,0.18832269956193895
pid_9396,-0.17347768267417163,0.17347768267417163
mean_daily_social_screens_delta,0.09989057357066938,0.09989057357066938
mean_daily_unique_apps_delta,0.036866210436271224,0.036866210436271224
pid_5560,0.03353039718213094,0.03353039718213094
mean_daily_social_screens,-0.0318121081170099,0.0318121081170099
clip_dispersion,0.03085366313650442,0.03085366313650442
