group,intercept,prior_cesd,mean_daily_social_ratio
1017,15.76898262386921,0.12976320749039472,-37.76776195916938
1030,-5.229885304915056,0.006765557926177238,5.592333237430854
1111,-5.296795664012615,-0.04178118793264506,8.11215136002477
1234,1.2758572505970514,-0.07913176154406644,3.756984881550915
1257,-7.831192298660257,-0.01632048046365899,7.1943519749077955
1261,-9.071445637748777,-0.09303639136359075,6.9078934624289925
1292,-3.9290623864860756,-0.06867872286089353,7.040104406269142
1301,-4.131739149777677,-0.019364416365347307,5.353047676770085
1389,-7.207439553365586,-0.12599375571610272,3.41590643169412
1487,-6.414214422403293,-0.036242059175796815,8.568071989012585
1490,-1.1139360371415907,0.03518395714051967,1.2124546239415745
1515,4.2921098592633555,-0.05161664406362501,12.5984590310016
1551,1.4723708187491806,-0.05780409393655619,-0.884189852441772
1693,-0.23745822265026378,-0.02105527636835503,1.180767297381196
2044,-3.231878679102118,-0.015952101342450193,1.6475357137639195
2122,-2.559867555542073,-0.031448257285798566,8.222157257054112
2177,-2.1968948276981477,-0.025649143849529026,3.4193660996967514
2204,5.87651203986459,-0.3166340802420132,17.6044252688052
2298,8.362197840962205,0.26042428683253405,-11.486381217586693
2403,4.826781302182224,0.028198328378250155,-5.432368383243201
2410,7.739697630176133,-0.0013760540258231542,-5.219230915132276
2456,7.598347919200131,0.03635080655956385,-6.634934527581831
2591,-1.3972987366433955,-0.06200768333310081,3.8811779225638814
2693,5.435021986657329,0.050880284974413985,-1.1285153126945104
2720,-7.426382724098484,-0.002907265642200625,2.5379861358941334
2938,-1.8570219038356715,-0.12116150466708538,4.1218448830085865
3022,-2.4814060563867484,-0.059053494573055365,4.858538366604522
3071,-3.9248341097608845,-0.056670455238374225,5.894232393753177
3120,-2.318924659898618,0.01667394502841551,-8.573718407055377
3173,-3.591855182078472,-0.016161642751838134,7.01316952299978
3309,-3.4025153924948572,-0.003322951311420458,4.155839202732241
3794,6.34848754522564,0.018009803605854743,-7.786526807316798
3860,-8.347328024845623,-0.016763999892479113,7.410697883199323
4035,-3.3271260959420625,-0.01850800927346871,4.40988880657912
4140,9.041875292189024,0.09036233172606267,-10.166852610101452
4170,3.823237528225187,0.1110944808899296,-13.155937122126101
4177,-0.8094893570163963,-0.011618250952040249,-2.0596131353601077
4365,-3.62988966892494,-0.020631970582496467,4.807494136995566
4406,10.686815748536237,0.17231707601929172,-18.785158994346922
4460,-3.113577009762569,0.04067270136273198,-6.070183240514957
4674,7.575901766441234,0.04469757048440201,20.27450451502462
4694,-6.659087660103403,-0.03450312943806413,3.530877480870294
4703,-4.10816244344021,-0.015419864100345758,-1.7875743231083874
4770,-4.494514693486249,-0.20135656582608374,34.319197254905255
5020,-0.6536783127111698,-0.032982331470238185,1.9584142180485047
5178,-6.649105176608251,-0.0207739413823042,8.21496625981625
5207,-1.8741160829048715,0.018412247909627207,-8.093700959835015
5343,11.378759709351444,0.34252003625347466,-25.644067064567395
5543,-5.908590456225275,-0.029223260107954903,7.712296850454459
5560,3.692406667329932,0.031474346497890604,-7.355348312521352
5797,-2.015393916680135,0.12406071439715698,0.7083141110056692
5967,1.4727108232782276,0.34379920434276323,-16.878105661411855
6230,-7.104276836872707,-0.03176516612129829,5.471186954525223
6328,-3.3322977689733686,-0.01726627682123084,4.3792020052138865
6515,-1.1799653770191088,-0.030275936397955415,1.8610632139124446
6661,9.387977884525437,0.12898987530873443,-14.931565955010011
6662,5.7580956623569755,0.13284033965785294,2.253144512554048
6666,-0.9427829171381097,0.0008300086259621636,1.0200676987555508
6713,-4.1715788171561545,0.009269976875615614,-1.995945000236711
6818,-4.331352261100765,-0.3283303587907319,0.20779157910855872
6836,1.2242160043807737,-0.042457097745953014,4.5138515248063165
7091,-5.369006450337398,-0.050398564678544075,5.684416721732196
7179,-7.389903170152128,-0.08178928036142846,11.33506574401592
7212,13.415690617932619,0.2503325997161619,-18.91359955113332
7264,4.629836058035606,0.0035986343230490162,-5.32251065985898
7335,2.523053539260962,-0.19454441345633572,-1.2776199863764415
7383,2.726901248184129,-0.029868201136724132,-7.157810611222771
7528,0.6989258781814844,-0.06289709136443353,2.3890868165632826
7529,1.8672053795584542,-0.018070188967503713,-1.929621705957233
7659,7.815811495674276,0.013165067358347562,-3.1484722983937967
